"fullname";"name";"vorname";"lastname";"firstname";"kanton_nummer";"liste_nummer_kanton";"district";"list"
"Kohlbacher Gioia (Pepe-Fantasia)";"Kohlbacher";"Gioia (Pepe-Fantasia)";NA;NA;1;"17";NA;NA
"Kolly Maxence";"Kolly";"Maxence";NA;NA;10;"23";NA;NA
"Komatina Milomirka";"Komatina";"Milomirka";NA;NA;3;"11";NA;NA
"Krummenacher Marlis";"Krummenacher";"Marlis";NA;NA;3;"27";NA;NA
"Kurer Gabriela";"Kurer";"Gabriela";NA;NA;3;"32";NA;NA
"Kurz David (Parmigiani)";"Kurz";"David (Parmigiani)";NA;NA;1;"17";NA;NA
"Kyburz Stephan";"Kyburz";"Stephan";NA;NA;3;"33";NA;NA
"Lehmann Scherer Sibylle";"Lehmann Scherer";"Sibylle";NA;NA;3;"32";NA;NA
"Leuba Alexandra";"Leuba";"Alexandra";NA;NA;22;"5";NA;NA
"Leuenberger Abilasa";"Leuenberger";"Abilasa";NA;NA;3;"11";NA;NA
"Lötscher Trudi";"Lötscher";"Trudi";NA;NA;3;"17";NA;NA
"Luchsinger Naila";"Luchsinger";"Naila";NA;NA;3;"11";NA;NA
"Luginbühl Moritz (Bolognese)";"Luginbühl";"Moritz (Bolognese)";NA;NA;1;"17";NA;NA
"Lüthard Dominic";"Lüthard";"Dominic";NA;NA;12;"41";NA;NA
"Lüthi Florian";"Lüthi";"Florian";NA;NA;3;"33";NA;NA
"Lüthi Simon";"Lüthi";"Simon";NA;NA;2;"33";NA;NA
"Lütolf Elsener Ottilia";"Lütolf Elsener";"Ottilia";NA;NA;3;"17";NA;NA
"Mächler Markus";"Mächler";"Markus";NA;NA;3;"24";NA;NA
"Mäder Jasmin";"Mäder";"Jasmin";NA;NA;12;"41";NA;NA
"Markart Ingrid E.";"Markart";"Ingrid E.";NA;NA;17;"4a";NA;NA
"Marques Luis";"Marques";"Luis";NA;NA;1;"18";NA;NA
"Marquis Stanislas";"Marquis";"Stanislas";NA;NA;22;"23";NA;NA
"Martenot Claire";"Martenot";"Claire";NA;NA;25;"15";NA;NA
"Marti Heinz";"Marti";"Heinz";NA;NA;2;"34";NA;NA
"Martins Alexandre";"Martins";"Alexandre";NA;NA;10;"24";NA;NA
"Mathez Roland";"Mathez";"Roland";NA;NA;10;"24";NA;NA
"Mathis Oskar";"Mathis";"Oskar";NA;NA;3;"17";NA;NA
"Matti Stefan";"Matti";"Stefan";NA;NA;3;"33";NA;NA
"Maystre Marie-Pierre";"Maystre";"Marie-Pierre";NA;NA;25;"15";NA;NA
"Mazzocco Angelina";"Mazzocco";"Angelina";NA;NA;2;"28";NA;NA
"Mc Gough John";"Mc Gough";"John";NA;NA;13;"34";NA;NA
"Mechkatti Marquis Samira";"Mechkatti Marquis";"Samira";NA;NA;25;"26";NA;NA
"Meige Claire";"Meige";"Claire";NA;NA;22;"5";NA;NA
"Meister-Peterhans Kurt";"Meister-Peterhans";"Kurt";NA;NA;1;"20";NA;NA
"Mengolian Daniel";"Mengolian";"Daniel";NA;NA;3;"11";NA;NA
"Mennel Nicolas (Antipasti)";"Mennel";"Nicolas (Antipasti)";NA;NA;1;"17";NA;NA
"Messerli Adrian";"Messerli";"Adrian";NA;NA;2;"33";NA;NA
"Meyer Luzi Andreas";"Meyer";"Luzi Andreas";NA;NA;3;"24";NA;NA
"Minder Yannick";"Minder";"Yannick";NA;NA;1;"10";NA;NA
"Mino-Matot Jacques";"Mino-Matot";"Jacques";NA;NA;25;"15";NA;NA
"Molly Norbert";"Molly";"Norbert";NA;NA;22;"23";NA;NA
"Monhart Gabriela";"Monhart";"Gabriela";NA;NA;1;"21";NA;NA
"Monnier Lucien";"Monnier";"Lucien";NA;NA;22;"23";NA;NA
"Montet Jean-Paul";"Montet";"Jean-Paul";NA;NA;22;"12";NA;NA
"Mudry Doris";"Mudry";"Doris";NA;NA;23;"7";NA;NA
"Mühlethaler Brice";"Mühlethaler";"Brice";NA;NA;2;"10";NA;NA
"Müller André";"Müller";"André";NA;NA;1;"3";NA;NA
"Müller Markus (Enrico Magaldi)";"Müller";"Markus (Enrico Magaldi)";NA;NA;2;"21";NA;NA
"Mundt Michael";"Mundt";"Michael";NA;NA;14;"1";NA;NA
"Nater Maha (Vongola)";"Nater";"Maha (Vongola)";NA;NA;1;"17";NA;NA
"Niclass Narcisse";"Niclass";"Narcisse";NA;NA;10;"25";NA;NA
"Niederhauser Katrin";"Niederhauser";"Katrin";NA;NA;2;"33";NA;NA
"Nussbaum Andreas Werner";"Nussbaum";"Andreas Werner";NA;NA;2;"29";NA;NA
"Odermatt Markus";"Odermatt";"Markus";NA;NA;3;"27";NA;NA
"Oguey Jérémy";"Oguey";"Jérémy";NA;NA;22;"23";NA;NA
"Osterwalder Alex";"Osterwalder";"Alex";NA;NA;13;"13";NA;NA
"Pan Martina";"Pan";"Martina";NA;NA;2;"28";NA;NA
"Patenaude Alyssia";"Patenaude";"Alyssia";NA;NA;10;"23";NA;NA
"Pecaric Natascha (Pesto)";"Pecaric";"Natascha (Pesto)";NA;NA;1;"17";NA;NA
"Pedone Jana";"Pedone";"Jana";NA;NA;3;"30";NA;NA
"Perez Danaé";"Perez";"Danaé";NA;NA;22;"5";NA;NA
"Perrella Patrick";"Perrella";"Patrick";NA;NA;2;"21";NA;NA
"Perret Chantal";"Perret";"Chantal";NA;NA;10;"24";NA;NA
"Petrini Claudio Massimo";"Petrini";"Claudio Massimo";NA;NA;21;"17";NA;NA
"Piani Carlo";"Piani";"Carlo";NA;NA;3;"25";NA;NA
"Pieren Jean-Luc";"Pieren";"Jean-Luc";NA;NA;24;"39";NA;NA
"Piller-Lang Catherine";"Piller-Lang";"Catherine";NA;NA;10;"24";NA;NA
"Piovano Victor";"Piovano";"Victor";NA;NA;22;"5";NA;NA
"Portmann Markus";"Portmann";"Markus";NA;NA;3;"24";NA;NA
"Portmann Pascal";"Portmann";"Pascal";NA;NA;3;"32";NA;NA
"Praz Joël Swai";"Praz";"Joël Swai";NA;NA;22;"5";NA;NA
"Preuss Roland";"Preuss";"Roland";NA;NA;17;"11";NA;NA
"Racca Bastien";"Racca";"Bastien";NA;NA;10;"23";NA;NA
"Raemy Ruedi";"Raemy";"Ruedi";NA;NA;10;"24";NA;NA
"Rawyler Alexandre";"Rawyler";"Alexandre";NA;NA;22;"23";NA;NA
"Renau Patrick";"Renau";"Patrick";NA;NA;3;"33";NA;NA
"Riesen Alain";"Riesen";"Alain";NA;NA;25;"15";NA;NA
"Rochat Jean-Pierre";"Rochat";"Jean-Pierre";NA;NA;2;"34";NA;NA
"Rodriguez Chantal";"Rodriguez";"Chantal";NA;NA;22;"12";NA;NA
"Romanelli Mias (Melanzana)";"Romanelli";"Mias (Melanzana)";NA;NA;1;"17";NA;NA
"Roos Erich";"Roos";"Erich";NA;NA;3;"30";NA;NA
"Röschli Gabriela";"Röschli";"Gabriela";NA;NA;2;"29";NA;NA
"Rossetti Sandro";"Rossetti";"Sandro";NA;NA;25;"15";NA;NA
"Rossi Nicolas";"Rossi";"Nicolas";NA;NA;22;"5";NA;NA
"Rotzler Nicolas";"Rotzler";"Nicolas";NA;NA;12;"6";NA;NA
"Ruckli Martin";"Ruckli";"Martin";NA;NA;3;"23";NA;NA
"Rugo Claudio";"Rugo";"Claudio";NA;NA;10;"22";NA;NA
"Rupp Clea";"Rupp";"Clea";NA;NA;22;"5";NA;NA
"Rüsch Salomon (Banana)";"Rüsch";"Salomon (Banana)";NA;NA;1;"17";NA;NA
"Rusch Stefan";"Rusch";"Stefan";NA;NA;17;"10";NA;NA
"Safaï Helen";"Safaï";"Helen";NA;NA;22;"5";NA;NA
"Sarantidis Chrisoula (Chris)";"Sarantidis";"Chrisoula (Chris)";NA;NA;1;"16";NA;NA
"Sartorius-Brüschweiler Karin";"Sartorius-Brüschweiler";"Karin";NA;NA;12;"32";NA;NA
"Saugy Raphaël";"Saugy";"Raphaël";NA;NA;22;"5";NA;NA
"Sauvin Philippe";"Sauvin";"Philippe";NA;NA;25;"15";NA;NA
"Schai-Zigerlig Helen";"Schai-Zigerlig";"Helen";NA;NA;12;"36";NA;NA
"Schärer Erich";"Schärer";"Erich";NA;NA;1;"28";NA;NA
"Schärli Stephan";"Schärli";"Stephan";NA;NA;3;"27";NA;NA
"Scherer Tamara";"Scherer";"Tamara";NA;NA;2;"34";NA;NA
"Schertenleib Manuela";"Schertenleib";"Manuela";NA;NA;2;"33";NA;NA
"Schielly Michel";"Schielly";"Michel";NA;NA;12;"11";NA;NA
"Schneider Andy";"Schneider";"Andy";NA;NA;3;"17";NA;NA
"Schöni Roland";"Schöni";"Roland";NA;NA;2;"29";NA;NA
"Schudel Rolf";"Schudel";"Rolf";NA;NA;13;"34";NA;NA
"Schulthess Margaud";"Schulthess";"Margaud";NA;NA;22;"5";NA;NA
"Schwegler Hans";"Schwegler";"Hans";NA;NA;3;"23";NA;NA
"Seck Mariama";"Seck";"Mariama";NA;NA;2;"28";NA;NA
"Senn Chloé";"Senn";"Chloé";NA;NA;10;"23";NA;NA
"Seydoux Brigitte";"Seydoux";"Brigitte";NA;NA;23;"7";NA;NA
"Shahid Safiullah";"Shahid";"Safiullah";NA;NA;3;"11";NA;NA
"Shaibal Roy";"Shaibal";"Roy";NA;NA;1;"4";NA;NA
"Shitsetsang Jigme Norbu";"Shitsetsang";"Jigme Norbu";NA;NA;17;"4a";NA;NA
"Sidler Stalder Mary";"Sidler Stalder";"Mary";NA;NA;3;"26";NA;NA
"Smach Phillip (Birra)";"Smach";"Phillip (Birra)";NA;NA;1;"17";NA;NA
"Sonderegger Roger";"Sonderegger";"Roger";NA;NA;3;"24";NA;NA
"Spühler Pascal";"Spühler";"Pascal";NA;NA;25;"25";NA;NA
"Städler Ramón (Broccoli)";"Städler";"Ramón (Broccoli)";NA;NA;1;"17";NA;NA
"Stahel Björn";"Stahel";"Björn";NA;NA;13;"34";NA;NA
"Stalder Christoph";"Stalder";"Christoph";NA;NA;2;"33";NA;NA
"Stauffer Eric";"Stauffer";"Eric";NA;NA;25;"25";NA;NA
"Stebler Guenat Henriette";"Stebler Guenat";"Henriette";NA;NA;25;"15";NA;NA
"Steiger Tobias";"Steiger";"Tobias";NA;NA;12;"41";NA;NA
"Steiger Urs";"Steiger";"Urs";NA;NA;3;"32";NA;NA
"Stöckli Susanne";"Stöckli";"Susanne";NA;NA;3;"26";NA;NA
"Streit Micha-Peter";"Streit";"Micha-Peter";NA;NA;2;"33";NA;NA
"Strotz Rolf";"Strotz";"Rolf";NA;NA;21;"17";NA;NA
"Studer Raymond";"Studer";"Raymond";NA;NA;3;"24";NA;NA
"Suter Lea";"Suter";"Lea";NA;NA;2;"28";NA;NA
"Thalmann-Hüsler Ramona";"Thalmann-Hüsler";"Ramona";NA;NA;3;"25";NA;NA
"Theiler Stefan";"Theiler";"Stefan";NA;NA;2;"29";NA;NA
"Thiel Verjot Elenora";"Thiel Verjot";"Elenora";NA;NA;2;"34";NA;NA
"Tiefenthaler Gioia (Aglio)";"Tiefenthaler";"Gioia (Aglio)";NA;NA;1;"17";NA;NA
"Tijan Stjepan (Gorgonzola)";"Tijan";"Stjepan (Gorgonzola)";NA;NA;1;"17";NA;NA
"Togni Florio";"Togni";"Florio";NA;NA;25;"15";NA;NA
"Tschuor Michaela";"Tschuor";"Michaela";NA;NA;3;"26";NA;NA
"Uhler Roland";"Uhler";"Roland";NA;NA;17;"11";NA;NA
"Vallon Nicolas";"Vallon";"Nicolas";NA;NA;22;"5";NA;NA
"Vergeat Jo";"Vergeat";"Jo";NA;NA;12;"8";NA;NA
"Vernay Marguerite";"Vernay";"Marguerite";NA;NA;22;"12";NA;NA
"Vernay Pierre-Maurice";"Vernay";"Pierre-Maurice";NA;NA;22;"12";NA;NA
"Vogel Xaver";"Vogel";"Xaver";NA;NA;3;"25";NA;NA
"Vogt Sabine";"Vogt";"Sabine";NA;NA;2;"34";NA;NA
"Voisard Cléa";"Voisard";"Cléa";NA;NA;10;"23";NA;NA
"von Mühlenen Jacqueline";"von Mühlenen";"Jacqueline";NA;NA;10;"25";NA;NA
"Von Rohr Monique";"Von Rohr";"Monique";NA;NA;22;"12";NA;NA
"Wahli Tom";"Wahli";"Tom";NA;NA;22;"8";NA;NA
"Waldis Martin";"Waldis";"Martin";NA;NA;3;"30";NA;NA
"Weber Eric";"Weber";"Eric";NA;NA;12;"14";NA;NA
"Weltert Werner";"Weltert";"Werner";NA;NA;12;"41";NA;NA
"Wick Jacqueline Julia";"Wick";"Jacqueline Julia";NA;NA;19;"4h";NA;NA
"Wiget Cyrill";"Wiget";"Cyrill";NA;NA;3;"32";NA;NA
"Willi Ädu";"Willi";"Ädu";NA;NA;2;"28";NA;NA
"Windler Urs";"Windler";"Urs";NA;NA;3;"23";NA;NA
"Windlin Lars (Sugo)";"Windlin";"Lars (Sugo)";NA;NA;1;"17";NA;NA
"Wirz Lynda (Fragola)";"Wirz";"Lynda (Fragola)";NA;NA;1;"17";NA;NA
"Würms Josef";"Würms";"Josef";NA;NA;14;"17";NA;NA
"Wyttenbach André";"Wyttenbach";"André";NA;NA;2;"28";NA;NA
"Zaugg Matthias";"Zaugg";"Matthias";NA;NA;2;"28";NA;NA
"Zesiger Urs";"Zesiger";"Urs";NA;NA;2;"34";NA;NA
"Ziegler Lana (Prosecco)";"Ziegler";"Lana (Prosecco)";NA;NA;1;"17";NA;NA
"Zopfi Mathias";"Zopfi";"Mathias";NA;NA;8;"3";NA;NA
"Züger Erich";"Züger";"Erich";NA;NA;2;"34";NA;NA
"Zurbriggen Roger";"Zurbriggen";"Roger";NA;NA;3;"25";NA;NA
