firstname,lastname,gender,year_of_birth,age,zip,city,country,party_short,district,incumbent,LINK_personal_website,LINK_facebook,LINK_Twitter,LINK_Instagram
Valèrie,Favre Accola,f,1973,46,7270,Davos Platz,Schweiz,SVP,Graubünden,0,http://www.valerie-favreaccola.ch,http://www.facebook.com/valeriefavreaccolaGR,https://twitter.com/valerie55820879,NA
Hans,Stöckli,m,1952,67,2503,Biel/Bienne,Schweiz,SP,Bern,1,https://www.hansstoeckli.ch,https://www.facebook.com/hans.insstockli,NA,NA
Alex,Kuprecht,m,1957,62,8808,Pfäffikon SZ,Schweiz,SVP,Schwyz,1,https://alex-kuprecht.ch/,NA,NA,NA
Michael,Fuchs,m,1974,45,6403,Küssnacht am Rigi,Schweiz,SP,Schwyz,0,https://www.fuchs-michael.ch,NA,NA,NA
Othmar,Reichmuth,m,1964,55,6434,Illgau,Schweiz,CVP,Schwyz,0,http://www.othmarreichmuth.ch,http://facebook.com/reichmuthothmar,NA,NA
Elisabeth,Baume-Schneider,f,1963,56,2345,Les Breuleux,Schweiz,SP,Jura,0,NA,NA,NA,NA
Pauline,Godat,f,1989,30,2360,Le Bémont,Schweiz,Grüne,Jura,0,NA,NA,NA,NA
Susanne,Amsler,f,1977,42,1202,Genève,Schweiz,glp,Genf,0,NA,https://www.facebook.com/susanne.amsler.1,NA,NA
Béatrice,Hirsch,f,1963,56,1256,Troinex,Schweiz,CVP,Genf,0,http://www.beatricehirsch.ch,https://www.facebook.com/beatrice.hirsch.5,NA,https://www.instagram.com/beatrice_hirsch
Didier,Boillat,m,1970,49,2036,Cormondrèche,Schweiz,FDP,Neuenburg,0,http://www.didierboillat.ch,NA,NA,NA
Laurent,Suter,m,1950,69,2075,Wavre,Schweiz,CVP,Neuenburg,0,NA,NA,NA,NA
Mireille,Tissot-Daguette,f,1989,30,2034,Peseux,Schweiz,glp,Neuenburg,0,NA,https://www.facebook.com/mireille.crelier,NA,https://www.instagram.com/mdaguette
Cyrille,Fauchère,m,1981,38,1967,Bramois,Schweiz,SVP,Wallis,0,NA,https://www.facebook.com/cyrille.fauchere,NA,NA
Hans,Wicki,m,1964,55,6052,Hergiswil,Schweiz,FDP,Nidwalden,1,https://www.wickihans.ch,https://www.facebook.com/hanswickihess,NA,NA
Peter,Hegglin,m,1960,58,6313,Edlibach,Schweiz,CVP,Zug,1,http://www.peter-hegglin.ch,https://www.facebook.com/peter.hegglin.7,NA,NA
Thomas,Hefti,m,1959,60,8750,Glarus,Schweiz,FDP,Glarus,1,https://thomas-hefti.ch/,NA,NA,NA
Ralph Alexander,Schmid,m,1959,60,1789,Lugnorre,Schweiz,glp,Freiburg,0,NA,NA,NA,NA
Patrick,Portamann,m,1989,30,8200,Schaffhausen,Schweiz,SP,Schaffhausen,0,NA,http://www.facebook.com/patrickportmann,NA,NA
Martin,Schmid,m,1969,50,7000,Chur,Schweiz,FDP,Graubünden,1,http://www.kunzschmid.ch/,NA,NA,NA
Daniel,Fässler,m,1960,59,9050,Appenzell,Schweiz,CVP,Appenzell Innerrhoden,1,NA,NA,NA,NA
Françoise,Chaignat,f,1955,64,2340,Le Noirmont,Schweiz,CVP,Jura,0,NA,https://www.facebook.com/francoise.chaignat.3,NA,NA
Thomas,Minder,m,1960,59,8212,Neuhausen,Schweiz,Parteilos,Schaffhausen,1,https://minder.sh/,https://www.facebook.com/tom.minder,NA,NA
Pirmin,Schwander,m,1961,58,8853,Lachen,Schweiz,SVP,Schwyz,0,https://pirmin-schwander.ch/,https://www.facebook.com/pirmin.schwander.73,NA,NA
Lisa,Mazzone,f,1988,31,1205,Genève,Schweiz,Grüne,Genf,0,http://lisamazzone.ch/,NA,NA,NA
Philippe,Bauer,m,1962,57,2012,Auvernier,Schweiz,FDP,Neuenburg,0,NA,https://www.facebook.com/profile.php?id=100010028077493,NA,NA
Sarah,Pearson Perret,f,1969,50,2000,Neuchâtel,Schweiz,glp,Neuenburg,0,NA,https://www.facebook.com/sarah.pearson.313371,NA,NA
Denis,de la Reussille,m,1960,59,2400,Le Locle,Schweiz,PdA,Neuenburg,0,NA,NA,NA,NA
Sarah,Blum,f,1984,35,2300,La Chaux-de-Fonds,Schweiz,PdA,Neuenburg,0,NA,NA,NA,NA
Pierre-André,Page,m,1960,59,1553,Châtonnaye,Schweiz,SVP,Freiburg,0,http://www.pierreandrepage.ch/,https://www.facebook.com/pierreandre.page.cn,NA,NA
Eva,Herzog,f,1961,58,4054,Basel,Schweiz,SP,Basel-Stadt,0,https://evaherzog.ch,NA,NA,NA
Roland Rino,Büchel,m,1965,54,9463,Oberriet,Schweiz,SVP,St.Gallen,0,NA,https://www.facebook.com/buchel.roland,NA,NA
Barbara,Gysel,f,1977,42,6300,Zug,Schweiz,SP,Zug,0,NA,https://www.facebook.com/gyselbarbara/,NA,NA
Patricia,von Falkenstein,f,1961,58,4052,Basel,Schweiz,LDP,Basel-Stadt,0,http://www.patriciavonfalkenstein.ch,https://www.facebook.com/patricia.vonfalkenstein,NA,NA
Michaël,Buffat,m,1979,40,1418,Vuarrens,Schweiz,SVP,Waadt,0,NA,https://www.facebook.com/buffat2019/,NA,NA
Jacques,Nicolet,m,1965,54,1357,Lignerolle,Schweiz,SVP,Waadt,0,NA,https://www.facebook.com/Page-Jacques-Nicolet-693949367464486/,NA,NA
