fullname;name;vorname;lastname;firstname;kanton_nummer;liste_nummer_kanton;district;list
Siegrist-Bachmann Renata;NA;NA;Siegrist-Bachmann;Renata;NA;NA;Aargau;Grünliberale Partei
Somm Klemenz;NA;NA;Somm;Klemenz;NA;NA;Thurgau;Grünliberale Partei
Niklaus Renate;NA;NA;Niklaus;Renate;NA;NA;Bern;Grünliberale Partei KMU
Bellaiche Judith;NA;NA;Bellaiche;Judith;NA;NA;Zürich;Grünliberale Partei Zürich
Moser Tiana;NA;NA;Moser;Tiana;NA;NA;Zürich;Grünliberale Partei Zürich
Roy Shaibal;NA;NA;Roy;Shaibal;NA;NA;Zürich;Grünliberale Partei Zürich
Scherrer Benno;NA;NA;Scherrer;Benno;NA;NA;Zürich;Grünliberale Partei Zürich
Schwarzenbach Beni;NA;NA;Schwarzenbach;Beni;NA;NA;Zürich;Grünliberale Partei Zürich
Faes Elisa;NA;NA;Faes;Elisa;NA;NA;St. Gallen;GRÜNE Junge Grüne
Hess Pablo;NA;NA;Hess;Pablo;NA;NA;Zürich;Integrale Politik (IP)
Reinhart Anita;NA;NA;Reinhart;Anita;NA;NA;Zürich;Integrale Politik (IP)
Schnyder Corinne Anna;NA;NA;Schnyder;Corinne Anna;NA;NA;Schwyz;JCVP
Gança Marques Luis Paulo;NA;NA;Gança Marques;Luis Paulo;NA;NA;Zürich;JCVP Kanton Zürich
Guggisberger Renja;NA;NA;Guggisberger;Renja;NA;NA;Zürich;JCVP Kanton Zürich
Milosavljevic Nenad;NA;NA;Milosavljevic;Nenad;NA;NA;Zürich;JCVP Kanton Zürich
Ruggli Jérôme M.A.;NA;NA;Ruggli;Jérôme M.A.;NA;NA;Zürich;JCVP Kanton Zürich
Merz Petra;NA;NA;Merz;Petra;NA;NA;Thurgau;JCVP Thurgau
Nesme Cindy;NA;NA;Nesme;Cindy;NA;NA;Freiburg;JDC Fribourg Grand-Fribourg
de Morsier Sébastien;NA;NA;de Morsier;Sébastien;NA;NA;Wallis;Jeune Vert-e-s Valais
Muehlethaler Brice;NA;NA;Muehlethaler;Brice;NA;NA;Bern;Jeunes Libéraux Radicaux
Allouache (Aoued) Hanane;NA;NA;Allouache (Aoued);Hanane;NA;NA;Genf;Jeunes Vert-e-s
